File	YACC							Peg-parser					
	Size(bytes)	Run0 (ms)	Run1 (ms)	Run2 (ms)	Run3 (ms)	Run4 (ms)	mean (ms)	Run0 (ms)	Run1 (ms)	Run2 (ms)	Run3 (ms)	Run4 (ms)	mean (ms)
java14srcs/EventListener.java	330	0	0	0	0	0	0.00	6	5	14	5	7	7.40
java14srcs/PrintGraphics.java	513	12	10	9	9	9	9.40	28	26	68	27	35	36.80
java14srcs/MenuContainer.java	544	0	0	0	0	0	0.00	5	5	14	6	9	7.80
java14srcs/EmptyStackException.java	644	0	0	0	0	0	0.00	13	13	32	12	23	18.60
java14srcs/FontFormatException.java	735	0	0	0	0	0	0.00	24	22	55	22	25	29.60
java14srcs/UnknownError.java	770	1	1	1	1	1	1.00	15	14	23	15	19	17.20
java14srcs/VerifyError.java	805	3	3	3	2	3	2.60	112	91	91	92	101	97.40
java14srcs/SecurityException.java	807	0	0	0	0	0	0.00	21	21	21	21	25	21.80
java14srcs/ClassCircularityError.java	808	0	0	0	0	0	0.00	23	23	23	24	26	23.80
java14srcs/AttributeValue.java	837	0	0	0	0	0	0.00	22	22	22	47	25	27.60
java14srcs/VirtualMachineError.java	850	35	35	32	31	34	33.10	14	15	14	36	16	19.00
java14srcs/AWTException.java	855	0	0	0	0	0	0.00	32	33	32	84	37	43.60
java14srcs/ClassFormatError.java	864	0	0	0	0	0	0.00	2	2	2	7	3	3.20
java14srcs/ArithmeticException.java	872	5	5	5	5	5	5.00	16	15	16	40	20	21.40
java14srcs/OutOfMemoryError.java	872	16	14	14	14	16	14.60	6	6	6	16	8	8.40
java14srcs/UnsatisfiedLinkError.java	884	1	1	1	1	1	1.00	44	44	44	115	50	59.40
java14srcs/UnsupportedClassVersionError.java	884	6	6	6	7	7	6.30	30	30	30	78	38	41.20
java14srcs/IllegalArgumentException.java	893	1	1	1	1	1	1.00	15	15	15	39	15	19.80
java14srcs/UnsupportedOperationException.java	947	3	3	2	3	3	2.60	3	3	3	9	6	4.80
java14srcs/IncompatibleClassChangeError.java	964	1	1	1	1	1	1.00	13	11	11	30	12	15.40
java14srcs/ArrayStoreException.java	1028	0	0	0	0	0	0.00	7	7	7	18	7	9.20
java14srcs/IllegalStateException.java	1084	20	0	0	0	0	2.00	21	21	22	55	22	28.20
java14srcs/IllegalComponentStateException.java	1128	0	0	0	0	0	0.00	22	22	22	57	30	30.60
java14srcs/NoClassDefFoundError.java	1154	0	0	0	0	0	0.00	21	21	21	54	22	27.80
java14srcs/IllegalMonitorStateException.java	1165	0	0	0	0	0	0.00	9	9	9	24	10	12.20
java14srcs/ColorPaintContext.java	1168	0	0	0	0	0	0.00	24	23	24	60	24	31.00
java14srcs/ThreadDeath.java	1203	0	0	0	0	0	0.00	3	3	3	9	3	4.20
java14srcs/Transparency.java	1237	33	29	29	28	30	29.80	15	15	14	37	16	19.40
java14srcs/ItemSelectable.java	1279	0	0	0	0	0	0.00	12	12	31	12	12	15.80
java14srcs/StringIndexOutOfBoundsException.java	1442	1	1	1	1	1	1.00	8	8	21	8	8	10.60
java14srcs/ActiveEvent.java	1611	0	0	0	0	0	0.00	24	25	63	25	24	32.20
java14srcs/EventListenerProxy.java	1736	4	3	3	3	4	3.50	30	30	30	77	31	39.60
java14srcs/CompositeContext.java	1744	4	4	4	4	4	4.00	7	7	7	19	7	9.40
java14srcs/SentEvent.java	1814	3	3	3	3	3	3.00	7	7	7	18	7	9.20
java14srcs/RandomAccess.java	1929	11	10	11	11	11	10.60	20	20	20	52	21	26.60
java14srcs/Runnable.java	1970	0	0	0	0	0	0.00	9	9	9	24	9	12.00
java14srcs/IllegalAccessException.java	2183	0	0	0	0	0	0.00	9	9	9	24	9	12.00
