#t  Size	YACC	PEG-PASER
330	0.00	7.40
513	9.40	36.80
544	0.00	7.80
644	0.00	18.60
735	0.00	29.60
770	1.00	17.20
805	2.60	97.40
807	0.00	21.80
808	0.00	23.80
837	0.00	27.60
850	33.10	19.00
855	0.00	43.60
864	0.00	3.20
872	5.00	21.40
872	14.60	8.40
884	1.00	59.40
884	6.30	41.20
893	1.00	19.80
947	2.60	4.80
964	1.00	15.40
1028	0.00	9.20
1084	2.00	28.20
1128	0.00	30.60
1154	0.00	27.80
1165	0.00	12.20
1168	0.00	31.00
1203	0.00	4.20
1237	29.80	19.40
1279	0.00	15.80
1442	1.00	10.60
1611	0.00	32.20
1736	3.50	39.60
1744	4.00	9.40
1814	3.00	9.20
1929	10.60	26.60
1970	0.00	12.00
2183	0.00	12.00
2310	0.00	13.60
2693	0.00	11.20
3067	0.00	2.80
3072	0.00	14.00
3092	0.00	10.00
3124	0.00	9.60
3125	0.00	13.80
3508	4.00	213.20
3643	0.00	17.20
3910	1.50	26.80
3934	4.30	1271.00
4126	1.00	38.00
5246	26.70	568.20
5381	2.00	313.00
5547	15.70	20.60
5603	9.30	248.40
5730	1.70	23.20
5957	0.00	25.00
6108	0.00	27.80
6187	0.00	30.40
6290	0.00	29.40
6363	0.00	8.40
6437	0.00	31.00
6489	0.00	28.80
6580	0.00	31.00
6692	0.10	7.80
6854	0.00	30.80
7035	0.00	31.00
7268	0.00	10.60
7513	0.00	27.80
7527	0.00	22.20
7666	9.80	4.00
7770	0.00	20.40
8346	0.00	22.00
10686	9.40	6.00
11703	0.00	20.00
11850	3.10	32.20
12000	0.00	47.40
14656	7.20	5.20
14681	4.80	69.20
15780	1.00	20.60
16152	0.00	12.40
16734	0.00	30.60
17037	0.00	29.80
17140	0.00	30.40
17587	0.00	28.60
17659	0.00	28.80
17939	0.00	30.00
18232	0.00	29.20
18850	0.00	29.80
19188	0.00	8.60
20031	1.00	15.60
20432	0.00	29.20
21941	14.00	8.20
22701	0.00	12.80
22994	1.00	19.80
23409	5.90	51.60
23415	1.00	14.00
24132	6.90	94.20
24466	0.00	41.20
24945	3.50	71.00
25332	0.00	5.60
26373	0.00	5.00
26817	3.10	11.80
27807	0.00	8.00
28215	0.10	45.40
31007	0.00	35.00
31942	0.00	42.80
33058	2.30	6.40
33200	15.60	32.20
35579	0.00	21.20
36180	0.00	37.00
36495	1.00	34.80
37843	9.70	199.80
39075	0.00	56.60
39267	2.00	12.40
41594	3.00	67.60
44165	0.00	10.00
49135	0.10	27.20
50978	0.00	4.40
67186	0.00	35.20
74738	19.40	16.00
77126	3.00	37.80
86853	0.00	28.40
89030	0.00	31.20
90497	0.00	33.40
90749	0.00	31.60
93973	0.00	27.20
113928	0.00	30.20
127056	0.00	19.60
